Distribution,Ordenation,Array Length,Time,Mean Time
Random,Counting Sort,150,0.0,0.046875
Random,Selection Sort,200,3.75,5.296875
Random,Insertion Sort,200,0.9375,1.21875
Random,Shell Sort,200,0.0,0.234375
Random,Quick Sort,200,0.0,0.328125
Random,Quick Sort 2,200,0.0,0.09375
Random,Quick Sort 3,200,0.0,0.1875
Random,Counting Sort,200,0.0,0.09375
Random,Selection Sort,250,6.5625,9.234375
Random,Insertion Sort,250,1.875,3.046875
Random,Shell Sort,250,0.0,0.328125
Random,Quick Sort,250,0.9375,0.328125
Random,Quick Sort 2,250,0.0,0.328125
Random,Quick Sort 3,250,1.875,0.65625
Random,Counting Sort,250,0.0,0.046875
Random,Selection Sort,300,6.5625,11.859375
Random,Insertion Sort,300,1.875,5.15625
Random,Shell Sort,300,0.9375,0.703125
Random,Quick Sort,300,0.0,0.375
Random,Quick Sort 2,300,0.9375,0.515625
Random,Quick Sort 3,300,0.0,0.65625
Random,Counting Sort,300,0.0,0.140625
Random,Selection Sort,350,8.4375,15.46875
Random,Insertion Sort,350,2.8125,7.03125
Random,Shell Sort,350,0.9375,0.609375
Random,Quick Sort,350,0.0,1.265625
Random,Quick Sort 2,350,0.0,0.46875
Random,Quick Sort 3,350,1.875,0.890625
Random,Counting Sort,350,0.9375,0.1875
Random,Selection Sort,400,14.0625,22.21875
Random,Insertion Sort,400,4.6875,10.359375
Random,Shell Sort,400,0.0,1.21875
Random,Quick Sort,400,1.875,0.65625
Random,Quick Sort 2,400,0.0,0.890625
Random,Quick Sort 3,400,0.9375,0.890625
Random,Counting Sort,400,0.0,0.140625
Random,Selection Sort,450,33.75,32.90625
Random,Insertion Sort,450,9.375,13.21875
Random,Shell Sort,450,0.9375,0.75
Random,Quick Sort,450,2.8125,1.21875
Random,Quick Sort 2,450,0.9375,0.984375
Random,Quick Sort 3,450,0.9375,1.03125
Random,Counting Sort,450,0.0,0.140625
Random,Selection Sort,500,18.75,38.578125
Random,Insertion Sort,500,4.6875,17.25
Random,Shell Sort,500,0.0,1.078125
Random,Quick Sort,500,1.875,0.984375
Random,Quick Sort 2,500,0.0,0.984375
Random,Quick Sort 3,500,0.9375,0.984375
Random,Counting Sort,500,0.0,0.421875
Random,Selection Sort,550,23.4375,50.0625
Random,Insertion Sort,550,6.5625,21.703125
Random,Shell Sort,550,0.9375,1.96875
Random,Quick Sort,550,0.0,1.59375
Random,Quick Sort 2,550,2.8125,1.125
Random,Quick Sort 3,550,0.9375,1.359375
Random,Counting Sort,550,0.0,0.328125
Random,Selection Sort,600,31.875,58.21875
Random,Insertion Sort,600,12.1875,24.84375
Random,Shell Sort,600,0.9375,1.21875
Random,Quick Sort,600,1.875,1.734375
Random,Quick Sort 2,600,0.9375,1.546875
Random,Quick Sort 3,600,0.0,1.6875
Random,Counting Sort,600,0.0,0.234375
Random,Selection Sort,650,25.3125,69.09375
Random,Insertion Sort,650,19.6875,32.71875
Random,Shell Sort,650,0.9375,1.96875
Random,Quick Sort,650,1.875,1.453125
Random,Quick Sort 2,650,0.0,1.078125
Random,Quick Sort 3,650,2.8125,1.734375
Random,Counting Sort,650,0.9375,0.46875
Random,Selection Sort,700,30.9375,82.6875
Random,Insertion Sort,700,15.0,37.96875
Random,Shell Sort,700,0.9375,2.625
Random,Quick Sort,700,2.8125,1.921875
Random,Quick Sort 2,700,0.0,1.5
Random,Quick Sort 3,700,1.875,1.734375
Random,Counting Sort,700,0.0,0.421875
Random,Selection Sort,750,60.0,96.75
Random,Insertion Sort,750,27.1875,44.4375
Random,Shell Sort,750,0.0,2.578125
Random,Quick Sort,750,0.9375,2.625
Random,Quick Sort 2,750,0.9375,1.921875
Random,Quick Sort 3,750,0.9375,1.828125
Random,Counting Sort,750,0.0,0.421875
Random,Selection Sort,50,0.9375,0.234375
Random,Insertion Sort,50,0.9375,0.046875
Random,Shell Sort,50,0.0,0.09375
Random,Quick Sort,50,0.0,0.0
Random,Quick Sort 2,50,0.0,0.0
Random,Quick Sort 3,50,0.0,0.140625
Random,Counting Sort,50,0.0,0.0
Random,Selection Sort,100,2.8125,1.03125
Random,Insertion Sort,100,0.0,0.09375
Random,Shell Sort,100,0.0,0.09375
Random,Quick Sort,100,0.9375,0.046875
Random,Quick Sort 2,100,0.0,0.09375
Random,Quick Sort 3,100,0.9375,0.1875
Random,Counting Sort,100,0.0,0.046875
Random,Selection Sort,150,4.6875,2.4375
Random,Insertion Sort,150,0.0,0.46875
Random,Shell Sort,150,0.0,0.234375
Random,Quick Sort,150,0.0,0.140625
Random,Quick Sort 2,150,0.0,0.09375
Random,Quick Sort 3,150,0.9375,0.28125
Random,Counting Sort,150,0.0,0.046875
Random,Selection Sort,200,2.8125,5.296875
Random,Insertion Sort,200,0.9375,1.21875
Random,Shell Sort,200,0.9375,0.234375
Random,Quick Sort,200,0.9375,0.328125
Random,Quick Sort 2,200,0.0,0.09375
Random,Quick Sort 3,200,0.0,0.1875
Random,Counting Sort,200,0.0,0.09375
Random,Selection Sort,250,5.625,9.234375
Random,Insertion Sort,250,1.875,3.046875
Random,Shell Sort,250,0.0,0.328125
Random,Quick Sort,250,0.0,0.328125
Random,Quick Sort 2,250,0.0,0.328125
Random,Quick Sort 3,250,0.0,0.65625
Random,Counting Sort,250,0.0,0.046875
Random,Selection Sort,300,4.6875,11.859375
Random,Insertion Sort,300,0.0,5.15625
Random,Shell Sort,300,0.9375,0.703125
Random,Quick Sort,300,0.0,0.375
Random,Quick Sort 2,300,0.0,0.515625
Random,Quick Sort 3,300,0.9375,0.65625
Random,Counting Sort,300,0.0,0.140625
Random,Selection Sort,350,6.5625,15.46875
Random,Insertion Sort,350,6.5625,7.03125
Random,Shell Sort,350,0.0,0.609375
Random,Quick Sort,350,3.75,1.265625
Random,Quick Sort 2,350,3.75,0.46875
Random,Quick Sort 3,350,2.8125,0.890625
Random,Counting Sort,350,1.875,0.1875
Random,Selection Sort,400,24.375,22.21875
Random,Insertion Sort,400,15.9375,10.359375
Random,Shell Sort,400,1.875,1.21875
Random,Quick Sort,400,0.9375,0.65625
Random,Quick Sort 2,400,0.9375,0.890625
Random,Quick Sort 3,400,0.9375,0.890625
Random,Counting Sort,400,0.0,0.140625
Random,Selection Sort,450,17.8125,32.90625
Random,Insertion Sort,450,8.4375,13.21875
Random,Shell Sort,450,0.0,0.75
Random,Quick Sort,450,0.9375,1.21875
Random,Quick Sort 2,450,1.875,0.984375
Random,Quick Sort 3,450,2.8125,1.03125
Random,Counting Sort,450,0.0,0.140625
Random,Selection Sort,500,24.375,38.578125
Random,Insertion Sort,500,5.625,17.25
Random,Shell Sort,500,0.0,1.078125
Random,Quick Sort,500,0.9375,0.984375
Random,Quick Sort 2,500,0.9375,0.984375
Random,Quick Sort 3,500,0.9375,0.984375
Random,Counting Sort,500,0.0,0.421875
Random,Selection Sort,550,38.4375,50.0625
Random,Insertion Sort,550,17.8125,21.703125
Random,Shell Sort,550,0.0,1.96875
Random,Quick Sort,550,1.875,1.59375
Random,Quick Sort 2,550,0.0,1.125
Random,Quick Sort 3,550,0.0,1.359375
Random,Counting Sort,550,0.9375,0.328125
Random,Selection Sort,600,27.1875,58.21875
Random,Insertion Sort,600,15.0,24.84375
Random,Shell Sort,600,0.0,1.21875
Random,Quick Sort,600,0.9375,1.734375
Random,Quick Sort 2,600,0.9375,1.546875
Random,Quick Sort 3,600,2.8125,1.6875
Random,Counting Sort,600,0.9375,0.234375
Random,Selection Sort,650,37.5,69.09375
Random,Insertion Sort,650,25.3125,32.71875
Random,Shell Sort,650,3.75,1.96875
Random,Quick Sort,650,0.9375,1.453125
Random,Quick Sort 2,650,1.875,1.078125
Random,Quick Sort 3,650,0.0,1.734375
Random,Counting Sort,650,1.875,0.46875
Random,Selection Sort,700,50.625,82.6875
Random,Insertion Sort,700,30.9375,37.96875
Random,Shell Sort,700,1.875,2.625
Random,Quick Sort,700,0.0,1.921875
Random,Quick Sort 2,700,1.875,1.5
Random,Quick Sort 3,700,0.9375,1.734375
Random,Counting Sort,700,0.0,0.421875
Random,Selection Sort,750,46.875,96.75
Random,Insertion Sort,750,25.3125,44.4375
Random,Shell Sort,750,1.875,2.578125
Random,Quick Sort,750,1.875,2.625
Random,Quick Sort 2,750,0.9375,1.921875
Random,Quick Sort 3,750,0.0,1.828125
Random,Counting Sort,750,0.9375,0.421875
Random,Selection Sort,50,0.9375,0.234375
Random,Insertion Sort,50,0.0,0.046875
Random,Shell Sort,50,0.0,0.09375
Random,Quick Sort,50,0.0,0.0
Random,Quick Sort 2,50,0.0,0.0
Random,Quick Sort 3,50,0.0,0.140625
Random,Counting Sort,50,0.0,0.0
Random,Selection Sort,100,1.875,1.03125
Random,Insertion Sort,100,0.0,0.09375
Random,Shell Sort,100,0.0,0.09375
Random,Quick Sort,100,0.0,0.046875
Random,Quick Sort 2,100,0.0,0.09375
Random,Quick Sort 3,100,0.9375,0.1875
Random,Counting Sort,100,0.0,0.046875
Random,Selection Sort,150,0.9375,2.4375
Random,Insertion Sort,150,0.9375,0.46875
Random,Shell Sort,150,0.9375,0.234375
Random,Quick Sort,150,0.0,0.140625
Random,Quick Sort 2,150,0.0,0.09375
Random,Quick Sort 3,150,0.9375,0.28125
Random,Counting Sort,150,0.0,0.046875
Random,Selection Sort,200,1.875,5.296875
Random,Insertion Sort,200,1.875,1.21875
Random,Shell Sort,200,0.0,0.234375
Random,Quick Sort,200,0.0,0.328125
Random,Quick Sort 2,200,0.0,0.09375
Random,Quick Sort 3,200,0.0,0.1875
Random,Counting Sort,200,0.0,0.09375
Random,Selection Sort,250,4.6875,9.234375
Random,Insertion Sort,250,1.875,3.046875
Random,Shell Sort,250,0.0,0.328125
Random,Quick Sort,250,0.0,0.328125
Random,Quick Sort 2,250,0.0,0.328125
Random,Quick Sort 3,250,0.0,0.65625
Random,Counting Sort,250,0.0,0.046875
Random,Selection Sort,300,1.875,11.859375
Random,Insertion Sort,300,4.6875,5.15625
Random,Shell Sort,300,0.0,0.703125
Random,Quick Sort,300,0.9375,0.375
Random,Quick Sort 2,300,0.0,0.515625
Random,Quick Sort 3,300,0.9375,0.65625
Random,Counting Sort,300,0.9375,0.140625
Random,Selection Sort,350,13.125,15.46875
Random,Insertion Sort,350,6.5625,7.03125
Random,Shell Sort,350,0.9375,0.609375
Random,Quick Sort,350,0.9375,1.265625
Random,Quick Sort 2,350,0.0,0.46875
Random,Quick Sort 3,350,0.0,0.890625
Random,Counting Sort,350,0.0,0.1875
Random,Selection Sort,400,6.5625,22.21875
Random,Insertion Sort,400,3.75,10.359375
Random,Shell Sort,400,4.6875,1.21875
Random,Quick Sort,400,0.0,0.65625
Random,Quick Sort 2,400,0.9375,0.890625
Random,Quick Sort 3,400,0.9375,0.890625
Random,Counting Sort,400,0.0,0.140625
Random,Selection Sort,450,18.75,32.90625
Random,Insertion Sort,450,7.5,13.21875
Random,Shell Sort,450,0.9375,0.75
Random,Quick Sort,450,0.9375,1.21875
Random,Quick Sort 2,450,1.875,0.984375
Random,Quick Sort 3,450,0.0,1.03125
Random,Counting Sort,450,0.0,0.140625
Random,Selection Sort,500,23.4375,38.578125
Random,Insertion Sort,500,25.3125,17.25
Random,Shell Sort,500,0.9375,1.078125
Random,Quick Sort,500,0.9375,0.984375
Random,Quick Sort 2,500,0.9375,0.984375
Random,Quick Sort 3,500,0.0,0.984375
Random,Counting Sort,500,0.0,0.421875
Random,Selection Sort,550,41.25,50.0625
Random,Insertion Sort,550,20.625,21.703125
Random,Shell Sort,550,0.9375,1.96875
Random,Quick Sort,550,0.0,1.59375
Random,Quick Sort 2,550,0.9375,1.125
Random,Quick Sort 3,550,2.8125,1.359375
Random,Counting Sort,550,0.9375,0.328125
Random,Selection Sort,600,76.875,58.21875
